,source,target,junction,length,maxspeed,access,name,width,lanes,oneway,bridge,osmid,geometry,tunnel,ref,highway
2677,44838812,44840025,,29.406,30,,Julianalaan,,,False,,7538088,,,,residential
2678,44838812,44834678,,104.935,30,,Willem de Zwijgerstraat,,,False,,7538207,,,,residential
2679,44838812,44838049,,37.632,30,,Julianalaan,,,False,,7538181,"LINESTRING (4.3721772 52.0088397, 4.3721111 52.0088148, 4.3718271 52.008708, 4.3717684 52.008689, 4.3717018 52.0086703)",,,residential
2680,44847005,44844496,,71.947,30,,Van der Lelijstraat,,,False,,7542499,,,,residential
2681,44847005,1435362479,,149.47199999999998,30,,Van der Lelijstraat,,,False,,7542499,"LINESTRING (4.337066 52.01076, 4.3363451 52.0113015, 4.3356803 52.011799)",,,residential
2682,44847005,44852049,,146.619,30,,Van Schuijlenburchstraat,,,False,,"[7542512, 704859420]","LINESTRING (4.337066 52.01076, 4.3371191 52.0108201, 4.3366423 52.0113899, 4.3361471 52.0119174)",,,residential
2683,44847008,44847009,,30.38,30,,Colijnlaan,,,False,yes,"[137069465, 7542114, 576356098]","LINESTRING (4.3458927 52.0107901, 4.3459865 52.0107948, 4.3461619 52.0107966, 4.3463362 52.0107992)",,,residential
2684,44847008,44845664,,136.347,30,,Colijnlaan,,,False,,"[432214690, 130410466, 121526878]","LINESTRING (4.3458927 52.0107901, 4.3458015 52.0107774, 4.3456285 52.0107584, 4.3455505 52.0107512, 4.3451467 52.0107466, 4.3442405 52.0105117, 4.3440794 52.0104864, 4.3440013 52.0105147)",,,residential
2685,44847009,44850693,,98.851,50,,Westplantsoen,,,True,,"[7542164, 430826798]","LINESTRING (4.3463362 52.0107992, 4.3463699 52.0108916, 4.3463776 52.0109905, 4.3463628 52.0110929, 4.3463 52.0112, 4.3459694 52.0116332)",,,residential
2686,44847009,1436427159,,16.938000000000002,50,,Westplantsoen,,,False,,7542234,"LINESTRING (4.3463362 52.0107992, 4.3464174 52.010774, 4.3465536 52.0107265)",,,residential
2687,44847009,44847008,,30.38,30,,Colijnlaan,,,False,yes,"[137069465, 576356098, 7542114]","LINESTRING (4.3463362 52.0107992, 4.3461619 52.0107966, 4.3459865 52.0107948, 4.3458927 52.0107901)",,,residential
2688,1583992741,44713931,,80.775,15,,Brilduikerhof,,,False,,144917583,"LINESTRING (4.3596158 51.9812003, 4.359998 51.9812579, 4.3599402 51.9813748, 4.3598626 51.9814255, 4.3597331 51.9817066)",,,living_street
2689,44847014,44846575,,19.126,15,,Paxlaan,,,False,,7538773,,,,living_street
2690,44781481,44779743,,31.679,15,,Mahlerstraat,,,False,,7541505,,,,living_street
2691,44781481,645582410,,6.829,30,,Griegstraat,,2,False,,338211749,,,,residential
2692,44781481,44780556,,79.214,30,,Griegstraat,,2,False,,338211749,"LINESTRING (4.342254 51.9960513, 4.3414137 51.9958999, 4.3413163 51.9958823, 4.3411441 51.9958501)",,,residential
2693,4474343338,2411146195,,22.145,50,,Buitenhofdreef,,1,True,,450504482,"LINESTRING (4.3448318 51.995517, 4.3448783 51.995564, 4.3449525 51.9956534, 4.344989 51.9956909)",,,tertiary
2694,4474343338,1258470923,,24.195,50,,Pierre van Hauwelaan,,1,True,,450504483,"LINESTRING (4.3448318 51.995517, 4.3449605 51.9955526, 4.345148 51.9956139)",,,tertiary
2695,44847020,1530303614,,39.154,30,,Gasthuislaan,,,True,,44431639,,,,residential
2696,1552650164,1552650415,,47.095,15,,Oliemolen,,,False,,141845805,"LINESTRING (4.3374668 51.9991656, 4.3378679 51.9992912, 4.3379508 51.9994285)",,,living_street
2697,5171875765,44821045,,103.672,50,,Schoemakerstraat,,"['2', '3']",False,,"[533029744, 547104398]","LINESTRING (4.3733667 52.0059639, 4.3734421 52.0059234, 4.3738835 52.0056435, 4.3739557 52.0055875, 4.3743674 52.0052663)",,,secondary
2698,5171875765,5171875774,,51.53999999999999,50,,Schoemakerstraat,,2,True,,533029745,"LINESTRING (4.3733667 52.0059639, 4.3733058 52.0060532, 4.3731658 52.006136, 4.3730942 52.0061728, 4.3730434 52.0061989, 4.3728782 52.0063078)",,,secondary
2699,1583992763,1584636979,,90.752,15,,Buenos Airesstraat,,,False,,144917588,"LINESTRING (4.3523851 51.9839793, 4.3520735 51.9839296, 4.3517141 51.983875, 4.35178 51.9837072, 4.35184 51.9835472, 4.3518213 51.9834954)",,,living_street
2700,5171875773,5171875775,,5.759,50,,Schoemakerstraat,,1,True,,670075845,,,,secondary
2701,5171875773,4407956433,,21.259999999999998,50,,Zuidplantsoen,,1,True,,533029742,"LINESTRING (4.3727896 52.0062761, 4.3727069 52.006214, 4.3726595 52.0061727, 4.3726139 52.0061193)",,,tertiary
2702,44847038,610474649,,12.579,50,,Oostpoortweg,,3,True,,252799285,,,,secondary
2703,44847038,610474431,,82.274,50,,Poortweg,,,True,,48002813,"LINESTRING (4.3751283 52.0107629, 4.3751956 52.0106846, 4.3752938 52.0106031, 4.375344 52.0105791, 4.3753791 52.01057, 4.3754936 52.0105429, 4.3755596 52.0105481, 4.3756193 52.0105613, 4.375959 52.0106488, 4.3761086 52.0106995)",,,residential
2704,5171875774,5171875773,,7.015,50,,Zuidplantsoen,,1,True,,533029742,,,,tertiary
2705,5171875774,4407940597,,45.519000000000005,50,,Schoemakerstraat,,1,True,,547104396,"LINESTRING (4.3728782 52.0063078, 4.3727008 52.0064083, 4.3725091 52.0065028, 4.3723567 52.0065598)",,,secondary
2706,5171875775,5171875774,,7.837,50,,Zuidplantsoen,,1,True,,670075846,,,,tertiary
2707,5171875775,5171875765,,47.187000000000005,50,,Schoemakerstraat,,1,True,,547104397,"LINESTRING (4.3728493 52.0062396, 4.3729885 52.0061592, 4.3731086 52.0060859, 4.3732474 52.0060009, 4.3733667 52.0059639)",,,secondary
2708,1583992767,1830076518,,81.659,30,,Latijns-Amerikalaan,,,False,,144917611,,,,residential
2709,1583992767,1584637090,,40.478,,,Brionhof,,,False,,744098540,,,,living_street
2710,1583992767,1583992771,,99.903,"['30', '15']",,"['Venezuelastraat', 'Latijns-Amerikalaan']",,,False,,"[144917611, 144917647]","LINESTRING (4.3524073 51.9844471, 4.352961 51.9845319, 4.3527962 51.9849664, 4.352721 51.985056)",,,"['residential', 'living_street']"
2711,1583992770,44730102,,70.956,15,,Fretstraat,,,False,,144917608,"LINESTRING (4.360584 51.9850049, 4.3602606 51.9849546, 4.3598203 51.984886, 4.3597465 51.9849043, 4.3596942 51.9849395, 4.3596495 51.9849886)",,,living_street
2712,1583992769,1583992775,,54.025,15,,Orinocostraat,,,False,,144917616,,,,living_street
2713,1583992769,1830076518,,131.587,15,,"['Caracasstraat', 'De Mirandastraat']",,,False,,"[172061849, 144917597]","LINESTRING (4.3519885 51.984965, 4.3510318 51.9848163, 4.3512554 51.9842573)",,,living_street
2714,1583992769,1583992771,,51.562999999999995,15,,Caracasstraat,,,False,,144917597,"LINESTRING (4.3519885 51.984965, 4.3521513 51.9849614, 4.352721 51.985056)",,,living_street
2715,44871617,44872846,,45.561,15,,Anna Boogerd,,,False,,7538722,,,,living_street
2716,44871617,4017942939,,29.961,30,,Geerweg,,,True,,143950777,,,,residential
2717,1583992771,253143148,,40.325,15,,Venezuelastraat,,,False,,144917647,,,,living_street
2718,1583992771,1583992769,,51.562999999999995,15,,Caracasstraat,,,False,,144917597,"LINESTRING (4.352721 51.985056, 4.3521513 51.9849614, 4.3519885 51.984965)",,,living_street
2719,1583992771,1583992767,,99.90299999999999,"['30', '15']",,"['Venezuelastraat', 'Latijns-Amerikalaan']",,,False,,"[144917611, 144917647]","LINESTRING (4.352721 51.985056, 4.3527962 51.9849664, 4.352961 51.9845319, 4.3524073 51.9844471)",,,"['residential', 'living_street']"
2720,44715974,1448535775,,32.337,15,,Bogotalaan,,,False,,7540920,,,,living_street
2721,44715974,44718822,,62.282,15,,Bogotalaan,,,False,,7540920,"LINESTRING (4.3473889 51.9821834, 4.3474007 51.9825071, 4.3474021 51.9825442, 4.3474074 51.9827434)",,,living_street
