sigma,VehHourTrav,VehHourTrav_ns,PassHourTrav,PassHourTrav_ns,PassUtility,PassUtility_ns,Veh_Lambda_R,Veh_Discount,shared_fares,full_fares,revenue_s,revenue_ns,Fare_Discount,nR,SINGLE,PAIRS,TRIPLES,QUADRIPLES,QUINTETS,PLUS5,shared_ratio,fleet_size_nonshared,fleet_size_shared,lambda_shared,_typ,_subtyp
20,1110419,1242873,1353861,1242873,16342.167350000002,19279.8675,0.256168421197418,0.12670574066332685,1019232.825,296259.0,1315491.8250000002,1864309.5,-0.2943812038719965,3000,1328,836,0,0,0,0,0.5573333333333333,346.0,305.0,0.12670574066332685,,
21,1108674,1242873,1349949,1242873,16391.060774999998,19279.8675,0.2637929189532158,0.13102274657746904,998635.95,327946.5,1326582.4500000002,1864309.5,-0.2884322855191157,3000,1402,799,0,0,0,0,0.5326666666666666,346.0,304.0,0.13102274657746904,,
22,1107965,1242873,1346652,1242873,16437.805025,19279.8675,0.2698238410479439,0.13405087868170915,981234.15,354718.5,1335952.65,1864309.5,-0.28340618872563816,3000,1466,767,0,0,0,0,0.5113333333333333,346.0,303.0,0.13405087868170915,,
23,1106589,1242873,1341847,1242873,16513.917250000002,19279.8675,0.2779541154515545,0.13990143130936628,949789.425,403095.0,1352884.425,1864309.5,-0.2743241264393063,3000,1560,720,0,0,0,0,0.48,346.0,301.0,0.13990143130936628,,
24,1102826,1242873,1338999,1242873,16586.048575,19279.8675,0.2857021809680824,0.14797881231911705,922739.025,444711.0,1367450.025,1864309.5,-0.2665112606034567,3000,1642,679,0,0,0,0,0.4526666666666666,346.0,301.0,0.14797881231911705,,
25,1100743,1242873,1335384,1242873,16661.471825,19279.8675,0.29214345212068826,0.1546969624408444,895794.9,486163.5,1381958.4,1864309.5,-0.2587290897782799,3000,1720,640,0,0,0,0,0.4266666666666665,346.0,301.0,0.1546969624408444,,
26,1099921,1242873,1329996,1242873,16730.718625,19279.8675,0.2974276887228923,0.1602902788866064,869536.2000000002,526561.5,1396097.7000000002,1864309.5,-0.2511448876916627,3000,1786,607,0,0,0,0,0.4046666666666666,346.0,306.0,0.1602902788866064,,
27,1101135,1242873,1325157,1242873,16830.319175,19279.8675,0.30361090871943885,0.16566925526095555,834159.3,580987.5,1415146.8,1864309.5,-0.2409271100104355,3000,1874,563,0,0,0,0,0.3753333333333333,346.0,308.0,0.16566925526095555,,
28,1099954,1242873,1323078,1242873,16925.507275,19279.8675,0.3092786681353525,0.17352836186234674,803015.85,628900.5,1431916.35,1864309.5,-0.2319320638552772,3000,1952,524,0,0,0,0,0.3493333333333334,346.0,310.0,0.17352836186234674,,
29,1100554,1242873,1319495,1242873,17041.826800000006,19279.8675,0.3150337412336832,0.18252531030290287,760228.9500000002,694726.5,1454955.4500000004,1864309.5,-0.2195740835950253,3000,2040,480,0,0,0,0,0.31999999999999995,346.0,312.0,0.18252531030290287,,
